,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
611,1362-3001,INFO MAN,Behaviour and Information Technology,Taylor & Francis,scopus,WoS,2,2,2,2.0,38.0,48.0,33.0,43.0,BEHAVIOUR & INFORMATION TECHNOLOGY,BEHAV INFORM TECHNOL,0144-929X,"COMPUTER SCIENCE, CYBERNETICS - SCIE",4675,3.32,0.6,8.71%,11/24,3.615,Q2,3.047,0.945,11/32,Q2,67.19,0.003,0.73,0.637,56.25,Q2,Q2,182.0,96.15%,6.5,8.2,175.0,,,Information Management
612,1467-8535,INFO MAN,British Journal of Educational Technology,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,23.0,25.0,18.0,27.0,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,0007-1013,EDUCATION & EDUCATIONAL RESEARCH - SSCI,7159,5.268,2.77,13.33%,23/270,5.321,Q1,4.958,1.15,14/743,Q1,98.18,0.007,1.583,1.186,91.67,Q1,Q1,100.0,93%,6.0,6.3,93.0,,,Information Management
613,1867-0202,INFO MAN,"Business & Information Systems Engineering (BISE, in- cludes WIRTSCHAFTSINFORMATIK)",Springer Nature,,,2,2,2,,,,,,Business & Information Systems Engineering,BUS INFORM SYST ENG+,2363-7005,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2687,5.675,0.81,50.44%,33/164,8.429,Q1,5.06,1.267,96/246,Q2,61.18,0.002,0.465,1.479,80.18,Q1,Q1,30.0,100%,6.0,6.9,30.0,,,Information Management
614,1557-7317,INFO MAN,Communications of the ACM,ACM,scopus,WoS,2,2,2,3.0,4.0,2.0,23.0,32.0,COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",26575,14.065,3.49,0%,2/54,17.213,Q1,13.891,1.682,1/62,Q1,99.19,0.02,4.225,4.416,97.22,Q1,Q1,88.0,82.95%,12.9,5.9,73.0,,,Information Management
615,1529-3181,INFO MAN,Communications of the Association for Information Systems,ACM,scopus,,2,2,2,2.0,,50.0,45.0,44.0,Communications of the Association for Information Systems,COMMUN ASSOC INF SYS,1529-3181,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",2887,,0.41,0%,,,,,,171/246,Q3,30.69,0.001,0.271,0.446,,,Q1,52.0,98.08%,10.6,9.4,51.0,,,Information Management
616,1460-2067,INFO MAN,Computer Journal,Oxford University Press,scopus,WoS,2,2,2,2.0,52.0,54.0,58.0,61.0,COMPUTER JOURNAL,COMPUT J,0010-4620,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",4631,1.762,0.43,2.27%,41/54,1.518,Q4,1.648,0.395,44/62,Q3,29.84,0.002,0.451,0.349,25.0,Q4,Q3,228.0,99.12%,37.2,6.7,226.0,,,Information Management
617,1573-7551,INFO MAN,Computer Supported Cooperative Work,Springer Nature,scopus,WoS,2,2,2,1.0,39.0,28.0,41.0,28.0,Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,COMPUT SUPP COOP W J,0925-9724,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",1000,2.8,0.48,41.56%,70/112,2.539,Q3,2.54,0.111,101/156,Q3,35.58,0.001,0.157,0.602,37.95,Q3,Q3,27.0,100%,9.0,8.2,27.0,,,Information Management
618,1873-7692,INFO MAN,Computers in Human Behavior,Elsevier,scopus,WoS,2,3,3,,11.0,12.0,12.0,8.0,COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,0747-5632,"PSYCHOLOGY, EXPERIMENTAL - SSCI",53712,8.957,2.59,11.27%,3/91,10.097,Q1,8.26,2.583,3/98,Q1,97.45,0.054,11.682,2.044,97.25,Q1,Q1,521.0,95.59%,5.7,7.0,498.0,,,Information Management
619,1572-9362,INFO MAN,Electronic Commerce Research,Springer Nature,scopus,WoS,2,,,,28.0,39.0,39.0,35.0,Electronic Commerce Research,ELECTRON COMMER RES,1389-5753,BUSINESS - SSCI,1551,3.462,0.78,5.99%,107/154,3.913,Q3,2.932,1.27,121/296,Q2,59.29,0.001,0.251,0.594,30.84,Q3,Q3,100.0,97%,4.5,8.3,97.0,,,Information Management
620,1873-7846,INFO MAN,Electronic Commerce Research and Applications,Elsevier,scopus,WoS,2,2,2,,20.0,21.0,24.0,18.0,Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,BUSINESS - SSCI,4943,5.622,1.24,3.56%,66/154,6.671,Q2,5.081,0.827,66/296,Q1,77.87,0.003,0.739,1.044,57.47,Q2,Q2,81.0,96.3%,6.2,6.1,78.0,,,Information Management
621,1751-7583,INFO MAN,Enterprise Information Systems,Taylor & Francis,scopus,WoS,2,2,,,,22.0,22.0,14.0,Enterprise Information Systems,ENTERP INF SYST-UK,1751-7575,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1918,4.407,1.09,3.45%,56/164,3.645,Q2,3.583,1.67,55/246,Q1,77.85,0.002,0.344,0.449,66.16,Q2,Q3,91.0,93.41%,2.8,6.1,85.0,,,Information Management
622,1468-0394,INFO MAN,Expert Systems,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,48.0,45.0,54.0,52.0,EXPERT SYSTEMS,EXPERT SYST,0266-4720,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",1833,2.812,0.65,4.07%,81/145,2.617,Q3,2.592,0.639,85/190,Q2,55.53,0.002,0.333,0.372,44.48,Q3,Q3,263.0,97.34%,2.9,4.8,256.0,,,Information Management
623,1471-1842,INFO MAN,Health Information and Libraries Journal,Wiley-Blackwell,scopus,WoS,2,2,2,,49.0,55.0,44.0,62.0,Health Information and Libraries Journal,HEALTH INFO LIBR J,1471-1834,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1952,3.55,0.78,12.7%,32/84,3.102,Q2,3.263,1.609,44/164,Q2,73.48,0.001,0.268,0.791,62.5,Q2,Q2,46.0,84.78%,12.1,5.6,39.0,,,Information Management
624,2047-6973,INFO MAN,Health Systems,Taylor & Francis,scopus,,2,2,2,,,,,,Health Systems,HEALTH SYST,2047-6965,HEALTH POLICY & SERVICES - ESCI,320,,0.68,11.25%,,,,,,68/114,Q3,40.79,0.0,0.101,0.452,,,Q1,27.0,100%,3.6,8.2,27.0,,,Information Management
625,1758-5783,INFO MAN,Industrial Management and Data Systems,Emerald,scopus,WoS,2,2,2,1.0,24.0,34.0,25.0,26.0,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,0263-5577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",7415,4.803,0.84,1.12%,37/112,7.359,Q1,4.28,0.495,62/156,Q2,60.58,0.006,1.21,1.059,67.41,Q2,Q2,103.0,95.15%,5.7,6.5,98.0,,,Information Management
626,1873-5371,INFO MAN,Information Processing and Management,Elsevier,scopus,WoS,2,2,2,3.0,29.0,9.0,26.0,21.0,INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8549,7.466,2.15,6.34%,20/164,7.036,Q1,5.91,2.808,13/246,Q1,94.92,0.006,1.341,1.069,88.11,Q1,Q1,338.0,97.63%,3.7,4.3,330.0,,,Information Management
627,1617-9854,INFO MAN,Information Systems and e-Business Management,Springer Nature,scopus,WoS,2,2,2,,45.0,49.0,53.0,51.0,Information Systems and E-Business Management,INF SYST E-BUS MANAG,1617-9846,BUSINESS - SSCI,1066,2.775,0.68,13.33%,121/154,3.976,Q3,2.718,0.51,137/296,Q2,53.89,0.001,0.195,0.572,21.75,Q4,Q4,49.0,95.92%,4.8,8.8,47.0,,,Information Management
628,1934-8703,INFO MAN,Information Systems Management,Taylor & Francis,scopus,WoS,2,2,2,2.0,37.0,44.0,46.0,50.0,INFORMATION SYSTEMS MANAGEMENT,INFORM SYST MANAGE,1058-0530,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1344,3.882,0.83,8.16%,67/164,3.951,Q2,3.763,0.318,94/246,Q2,61.99,0.001,0.182,0.619,59.45,Q2,Q2,22.0,90.91%,7.4,10.1,20.0,,,Information Management
629,1554-0170,INFO MAN,Information Technology for Development,Taylor & Francis,scopus,WoS,2,2,2,,43.0,40.0,47.0,48.0,Information Technology for Development,INFORM TECHNOL DEV,0268-1102,DEVELOPMENT STUDIES - SSCI,1441,4.261,1.24,12%,9/42,4.674,Q1,3.772,0.818,9/60,Q1,85.83,0.001,0.309,0.786,79.76,Q1,Q2,33.0,96.97%,4.7,8.1,32.0,,,Information Management
630,1873-7951,INFO MAN,Interacting with Computers,Oxford University Press,scopus,WoS,2,2,2,2.0,41.0,36.0,52.0,47.0,INTERACTING WITH COMPUTERS,INTERACT COMPUT,0953-5438,"COMPUTER SCIENCE, CYBERNETICS - SCIE",1779,1.623,0.3,9.09%,21/24,1.532,Q4,1.594,0.211,23/32,Q3,29.69,0.001,0.14,0.339,14.58,Q4,Q3,19.0,100%,11.4,9.7,19.0,,,Information Management
631,1095-9300,INFO MAN,International Journal of Human Computer Studies,Elsevier,scopus,WoS,2,3,3,3.0,27.0,20.0,32.0,23.0,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,"COMPUTER SCIENCE, CYBERNETICS - SCIE",6726,4.866,1.2,14.5%,6/24,4.435,Q2,4.616,1.533,4/32,Q1,89.06,0.004,0.81,0.88,77.08,Q1,Q2,107.0,97.2%,10.5,8.6,104.0,,,Information Management
632,1873-4707,INFO MAN,International Journal of Information Management,Elsevier,scopus,WoS,2,2,2,2.0,9.0,4.0,21.0,4.0,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,17621,18.958,5.51,9.19%,1/84,16.58,Q1,16.913,7.545,1/164,Q1,99.7,0.016,3.451,2.403,99.4,Q1,Q1,165.0,90.91%,3.2,6.7,150.0,,,Information Management
633,2380-2057,INFO MAN,Journal of Computer Information Systems,Taylor & Francis,scopus,WoS,2,2,2,2.0,42.0,42.0,36.0,38.0,JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,0887-4417,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2490,3.317,0.89,1.61%,83/164,3.556,Q2,2.921,0.761,83/246,Q2,66.46,0.001,0.259,0.512,49.7,Q3,Q3,109.0,95.41%,8.2,8.9,104.0,,,Information Management
634,1758-7379,INFO MAN,Journal of Documentation,Emerald,scopus,WoS,2,,,,44.0,37.0,27.0,49.0,JOURNAL OF DOCUMENTATION,J DOC,0022-0418,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,2752,2.034,0.54,7.82%,47/84,1.96,Q3,1.646,0.397,66/164,Q2,60.06,0.002,0.388,0.501,44.64,Q3,Q3,116.0,91.38%,13.6,8.5,106.0,,,Information Management
635,1758-7409,INFO MAN,Journal of Enterprise Information Management,Emerald,scopus,WoS,2,2,2,1.0,,38.0,40.0,31.0,Journal of Enterprise Information Management,J ENTERP INF MANAG,1741-0398,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,3113,5.661,1.31,0.37%,16/84,5.639,Q2,4.776,1.523,28/164,Q1,83.23,0.002,0.431,0.669,81.55,Q1,Q2,86.0,95.35%,4.4,4.5,82.0,,,Information Management
636,1533-7995,INFO MAN,Journal of Global Information Management,IGI Global Publishing,scopus,WoS,2,2,2,2.0,55.0,64.0,63.0,55.0,Journal of Global Information Management,J GLOB INF MANAG,1062-7375,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,961,3.474,0.84,73.5%,33/84,3.052,Q2,2.128,0.82,39/164,Q1,76.52,0.0,0.083,0.262,61.31,Q2,Q4,122.0,91.8%,4.1,8.8,112.0,,,Information Management
637,2333-6846,INFO MAN,Journal of Global Information Technology Management,Taylor & Francis,scopus,WoS,2,2,2,,51.0,68.0,64.0,68.0,Journal of Global Information Technology Management,J GLOB INF TECH MAN,1097-198X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,524,3.444,0.95,2.63%,34/84,3.761,Q2,3.148,0.091,37/164,Q1,77.74,0.0,0.083,0.608,60.12,Q2,Q2,11.0,90.91%,6.3,8.5,10.0,,,Information Management
638,1741-6485,INFO MAN,Journal of Information Science,SAGE,scopus,WoS,2,2,2,2.0,36.0,33.0,38.0,36.0,JOURNAL OF INFORMATION SCIENCE,J INF SCI,0165-5515,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2900,2.462,0.81,6.48%,112/164,3.168,Q3,2.211,0.746,96/246,Q1,61.18,0.002,0.405,0.596,32.01,Q3,Q3,122.0,98.36%,8.4,7.5,120.0,,,Information Management
639,1873-1228,INFO MAN,Journal of Systems and Software,Elsevier,scopus,WoS,2,2,2,,30.0,10.0,30.0,22.0,JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE",7681,3.514,1.11,12.93%,29/110,3.572,Q2,3.258,0.677,22/133,Q1,83.83,0.007,1.44,0.705,74.09,Q2,Q2,232.0,92.24%,6.2,7.1,214.0,,,Information Management
640,1540-1979,INFO MAN,MIS Quarterly Executive,Indiana University Press,scopus,WoS,2,2,2,,31.0,24.0,20.0,33.0,MIS Quarterly Executive,MIS Q EXEC,1540-1960,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1424,6.353,1.33,0%,15/84,9.988,Q1,5.971,0.471,27/164,Q1,83.84,0.002,0.371,2.116,82.74,Q1,Q1,17.0,100%,5.4,4.6,17.0,,,Information Management
641,1943-7544,INFO MAN,Pacific Asia Journal of the Association for Information Sys- tems,Association for Information Systems,,,2,2,2,,,,,,Pacific Asia Journal of the Association for Information Systems,PAC ASIA J ASSOC INF,1943-7536,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,145,,0.45,0%,,,,,,74/164,Q2,55.18,0.0,0.032,0.2,,,Q2,4.0,75%,4.5,7.5,3.0,,,Information Management
642,1432-010X,INFO MAN,Requirements Engineering,Springer Nature,scopus,WoS,2,2,2,,33.0,5.0,35.0,30.0,REQUIREMENTS ENGINEERING,REQUIR ENG,0947-3602,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",829,2.275,0.9,26.03%,116/164,2.882,Q3,1.961,0.409,82/246,Q2,66.87,0.001,0.134,0.551,29.57,Q3,Q3,22.0,95.45%,7.5,8.9,21.0,,,Information Management
643,1326-2238,INFO MAN,Australasian Journal of Information Systems,"UQ Business School, The University of Queensland",scopus,,1,1,1,,,73.0,70.0,70.0,Australasian Journal of Information Systems,AUSTRALAS J INF SYST,1449-8618,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",427,,0.37,65.09%,,,,,,179/246,Q3,27.44,0.0,0.105,0.33,,,Q2,32.0,100%,4.4,8.2,32.0,,,Information Management
644,1572-8439,INFO MAN,Ethics and Information Technology,Springer Nature,scopus,WoS,1,1,1,1.0,40.0,32.0,43.0,41.0,Ethics and Information Technology,ETHICS INF TECHNOL,1388-1957,ETHICS - SSCI,1876,3.633,3.11,51.66%,10/56,4.795,Q1,3.456,1.049,2/75,Q1,98.0,0.002,0.491,1.45,83.04,Q1,Q1,61.0,93.44%,7.4,6.7,57.0,,,Information Management
645,1873-6793,INFO MAN,Expert Systems with Applications,Elsevier,scopus,WoS,1,3,3,3.0,18.0,6.0,19.0,7.0,EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",64974,8.665,1.81,3.41%,21/145,8.093,Q1,7.494,2.043,21/190,Q1,89.21,0.039,8.443,1.239,85.86,Q1,Q2,1864.0,96.89%,6.3,6.2,,,,Information Management
646,1532-7051,INFO MAN,Human-Computer Interaction,Taylor & Francis,scopus,WoS,1,1,1,1.0,6.0,15.0,34.0,24.0,HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,"COMPUTER SCIENCE, CYBERNETICS - SCIE",1950,6.459,0.94,22.39%,4/24,5.727,Q1,6.297,1.067,7/32,Q1,79.69,0.001,0.202,1.286,85.42,Q1,Q1,30.0,96.67%,13.1,9.1,29.0,,,Information Management
647,2056-4961,INFO MAN,Information and Computer Security,Emerald,scopus,,1,1,1,1.0,,,,,Information and Computer Security,INF COMPUT SECUR,2056-4961,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",420,,0.4,4.69%,,,,,,173/246,Q3,29.88,0.001,0.109,0.307,,,Q2,53.0,96.23%,3.8,7.5,51.0,,,Information Management
648,1368-1613,INFO MAN,Information Research,University of Boras,scopus,WoS,1,1,1,1.0,54.0,56.0,55.0,65.0,INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,INFORM RES,1368-1613,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1198,0.744,0.21,33.33%,68/84,0.97,Q4,0.687,0.333,112/164,Q3,32.01,0.001,0.216,0.247,19.64,Q4,Q4,30.0,100%,8.2,9.1,30.0,,,Information Management
649,1533-7979,INFO MAN,Information Resources Management Journal,IGI Global Publishing,scopus,,1,1,1,1.0,,76.0,74.0,75.0,Information Resources Management Journal,INF RESOUR MANAG J,1040-1628,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,303,,0.35,1.96%,,,,,,83/164,Q3,49.7,0.0,0.025,0.141,,,Q3,16.0,100%,12.2,8.3,16.0,,,Information Management
650,1943-4294,INFO MAN,Information Technology & Tourism,Springer Nature,scopus,WoS,1,,,,,59.0,56.0,53.0,Information Technology & Tourism,INF TECHNOL TOUR,1098-3058,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",801,6.093,1.3,18.06%,18/58,4.925,Q2,5.667,0.833,23/132,Q1,82.95,0.001,0.192,0.783,69.83,Q2,Q2,18.0,94.44%,3.6,6.2,17.0,,,Information Management
651,1573-7667,INFO MAN,Information Technology and Management,Springer Nature,scopus,WoS,1,,,,,47.0,50.0,40.0,Information Technology & Management,INFORM TECHNOL MANAG,1385-951X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,877,2.31,0.57,8.33%,45/84,2.489,Q3,1.897,0.323,62/164,Q2,62.5,0.0,0.06,0.315,47.02,Q3,Q3,31.0,100%,9.3,9.8,31.0,,,Information Management
652,1548-114X,INFO MAN,International Journal of e-Business Research,IGI Global Publishing,scopus,,1,1,,,,72.0,72.0,63.0,International Journal of E-Business Research,INT J E-BUS RES,1548-1131,BUSINESS - ESCI,216,,0.25,0%,,,,,,232/296,Q4,21.79,0.0,0.03,0.147,,,Q3,20.0,95%,5.1,10.4,19.0,,,Information Management
653,1548-1123,INFO MAN,International Journal of Enterprise Information Systems,IGI Global Publishing,scopus,,1,1,,,,61.0,67.0,57.0,International Journal of Enterprise Information Systems,INT J ENTERP INF SYS,1548-1115,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",232,,0.34,2.5%,,,,,,184/246,Q3,25.41,0.0,0.027,0.107,,,Q3,28.0,96.43%,4.3,6.6,27.0,,,Information Management
654,1935-5696,INFO MAN,International Journal of Information Systems in the Service Sector,IGI Global Publishing,scopus,,1,1,,,,71.0,69.0,74.0,International Journal of Information Systems in the Service Sector,INT J INF SYST SERV,1935-5688,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",152,,0.26,3.13%,,,,,,198/246,Q4,19.72,0.0,0.019,0.094,,,Q3,20.0,95%,4.1,6.9,19.0,,,Information Management
655,1548-0658,INFO MAN,International Journal of Knowledge Management,IGI Global Publishing,scopus,,1,,,,,60.0,57.0,59.0,International Journal of Knowledge Management,INT J KNOWL MANAG,1548-0666,MANAGEMENT - ESCI,373,,0.44,1.41%,,,,,,258/393,Q3,34.48,0.0,0.036,0.168,,,Q3,24.0,95.83%,5.7,11.9,23.0,,,Information Management
656,1744-0092,INFO MAN,International Journal of Web Information Systems,Emerald,scopus,,1,1,,,,67.0,73.0,67.0,International Journal of Web Information Systems,INT J WEB INF SYST,1744-0084,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",190,,0.21,4.04%,,,,,,212/246,Q4,14.02,0.0,0.036,0.126,,,Q3,36.0,100%,4.8,5.9,36.0,,,Information Management
657,1533-8010,INFO MAN,Journal of Database Management,IGI Global Publishing,scopus,WoS,1,1,,,56.0,69.0,68.0,69.0,JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,1063-8016,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",350,2.656,0.46,0%,102/164,1.932,Q4,1.969,0.35,155/246,Q3,37.2,0.0,0.037,0.247,38.11,Q3,Q4,20.0,95%,8.8,5.4,19.0,,,Information Management
658,2116-7052,INFO MAN,Journal of Decision Systems,Taylor & Francis,scopus,,1,1,1,,,58.0,60.0,64.0,Journal of Decision Systems,J DECIS SYST,1246-0125,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - ESCI,553,,0.3,6.45%,,,,,,86/100,Q4,14.5,0.0,0.093,0.227,,,Q3,55.0,96.36%,5.2,7.4,53.0,,,Information Management
659,1558-7940,INFO MAN,Journal of Emerging Technologies in Accounting,American Accounting Association,scopus,,1,1,1,,,65.0,66.0,66.0,Journal of Emerging Technologies in Accounting,J EMERG TECHNOL ACCO,1554-1908,"BUSINESS, FINANCE - ESCI",424,,0.74,0%,,,,,,88/221,Q2,60.41,0.001,0.154,0.74,,,Q1,14.0,100%,4.3,4.8,14.0,,,Information Management
660,1875-5879,INFO MAN,Journal of Informetrics,Elsevier,scopus,WoS,1,1,,,22.0,29.0,5.0,25.0,Journal of Informetrics,J INFORMETR,1751-1577,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",5754,4.373,1.42,14.62%,45/112,7.413,Q1,3.66,0.68,28/156,Q1,82.37,0.006,1.244,1.517,60.27,Q2,Q1,100.0,99%,5.7,7.9,99.0,,,Information Management
661,1533-287X,INFO MAN,Journal of Internet Commerce,Taylor & Francis,scopus,,1,1,,,,62.0,59.0,56.0,Journal of Internet Commerce,J INTERNET COMMER,1533-2861,BUSINESS - ESCI,918,,0.82,3.8%,,,,,,112/296,Q2,62.33,0.001,0.13,0.65,,,Q1,38.0,86.84%,5.2,7.6,33.0,,,Information Management
662,1546-5012,INFO MAN,Journal of Organizational and End User Computing,IGI Global Publishing,scopus,WoS,1,1,1,1.0,,63.0,62.0,60.0,Journal of Organizational and End User Computing,J ORGAN END USER COM,1546-2234,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",1003,7.4,1.82,64.6%,21/164,6.541,Q1,6.133,0.971,19/246,Q1,92.48,0.001,0.114,0.511,87.5,Q1,Q3,68.0,97.06%,3.3,7.0,66.0,,,Information Management
663,1532-7744,INFO MAN,Journal of Organizational Computing and Electronic Com- merce,Taylor & Francis,scopus,WoS,1,1,1,,47.0,51.0,51.0,39.0,JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",654,2.237,0.56,4.08%,118/164,2.948,Q3,2.026,0.727,138/246,Q3,44.11,0.0,0.093,0.472,28.35,Q3,Q3,11.0,100%,7.0,6.9,11.0,,,Information Management
664,0718-1876,INFO MAN,Journal of Theoretical and Applied Electronic Commerce Research,Multidisciplinary Digital Publishing Insti- tute (MDPI),scopus,WoS,1,1,1,,,41.0,49.0,45.0,Journal of Theoretical and Applied Electronic Commerce Research,J THEOR APPL EL COMM,0718-1876,BUSINESS - SSCI,1022,5.318,0.89,98.22%,70/154,4.363,Q3,4.159,1.635,103/296,Q2,65.37,0.0,0.086,0.462,54.87,Q2,Q4,181.0,95.58%,2.8,6.8,173.0,,,Information Management
665,1477-8246,INFO MAN,Knowledge Management Research and Practice,Taylor & Francis,scopus,WoS,1,1,1,1.0,46.0,53.0,48.0,54.0,Knowledge Management Research & Practice,KNOWL MAN RES PRACT,1477-8238,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1754,3.054,0.78,8.19%,37/84,3.092,Q2,2.696,0.869,44/164,Q2,73.48,0.001,0.216,0.363,56.55,Q2,Q3,84.0,98.81%,5.3,9.9,83.0,,,Information Management
666,1468-4535,INFO MAN,Online Information Review,Emerald,scopus,WoS,1,1,,,34.0,46.0,42.0,37.0,ONLINE INFORMATION REVIEW,ONLINE INFORM REV,1468-4527,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2629,2.901,0.74,1.09%,92/164,3.452,Q3,2.576,0.51,108/246,Q2,56.3,0.002,0.469,0.626,44.21,Q3,Q2,104.0,94.23%,6.0,7.2,98.0,,,Information Management
667,1560-683X,INFO MAN,South African Journal of Information Management,AOSIS (pty) Ltd,,,1,1,1,,,,,,South African Journal of Information Management,S AFR J INFORM MANAG,2078-1865,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI,292,,0.39,90.24%,,,,,,79/164,Q2,52.13,0.0,0.065,0.256,,,Q2,27.0,100%,4.9,6.5,27.0,,,Information Management
668,1873-7625,INNOV,Research Policy,Elsevier,scopus,WoS,4*,4*,4,4.0,1.0,1.0,1.0,1.0,RESEARCH POLICY,RES POLICY,0048-7333,MANAGEMENT - SSCI,34484,9.473,2.27,21.33%,24/228,11.442,Q1,8.738,1.793,16/393,Q1,96.06,0.02,4.337,2.758,89.69,Q1,Q1,193.0,97.93%,10.4,10.3,189.0,,,Innovation
669,1540-5885,INNOV,Journal of Product Innovation Management,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,3.0,4.0,2.0,3.0,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,0737-6782,BUSINESS - SSCI,9830,9.885,1.63,34.34%,25/154,10.849,Q1,8.869,1.868,38/296,Q1,87.33,0.004,0.846,2.084,84.09,Q1,Q1,38.0,97.37%,9.0,11.2,37.0,,,Innovation
670,1469-8390,INNOV,Industry and Innovation,Taylor & Francis,scopus,WoS,3,2,2,2.0,12.0,15.0,9.0,13.0,Industry and Innovation,IND INNOV,1366-2716,ECONOMICS - SSCI,2376,3.819,1.1,22.22%,94/381,4.674,Q1,3.528,0.682,120/572,Q1,79.11,0.002,0.506,1.037,75.46,Q1,Q2,44.0,100%,6.5,10.8,44.0,,,Innovation
671,1573-7047,INNOV,Journal of Technology Transfer,Springer Nature,scopus,WoS,3,2,2,1.0,7.0,8.0,5.0,7.0,JOURNAL OF TECHNOLOGY TRANSFER,J TECHNOL TRANSFER,0892-9912,MANAGEMENT - SSCI,5148,5.337,1.11,27.74%,96/228,6.32,Q2,4.619,1.578,111/393,Q2,71.88,0.004,0.952,1.141,58.11,Q2,Q2,90.0,96.67%,5.7,10.8,87.0,,,Innovation
