Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
BUS HIST & ECON HIST,Australian Economic History Review,2,2,21,19,19,12,44%,44%,6%,0.309,,,,,,,,,,0.5,0.48,Q4,210,0,0.413,ECONOMICS
BUS HIST & ECON HIST,Cliometrica,2,2,4,7,5,8,63%,36%,30%,1.061,,,,,,,,,,1.5,1.93,Q2,337,0.001,1.162,ECONOMICS
BUS HIST & ECON HIST,Economic History of Developing Regions,2,14,18,8,84%,42%,15%,0.475,,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Entreprises et Histoire,2,2,26,25,24,1%,21%,32%,0.024,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Essays in Economic and Business History,2,2,,,,,,,,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,European Journal of the History of Economic Thought,2,2,15,12,10,14,24%,27%,21%,0.137,,,,,,,,,,0.6,0.42,Q4,490,0.001,0.391,ECONOMICS
BUS HIST & ECON HIST,Financial History Review,2,2,23,16,21,51%,39%,15%,0.212,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of the History of Economic Thought,2,2,9,15,11,13,17%,53%,15%,0.142,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Transport History,2,2,24,23,23,57%,32%,7%,0.063,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Labor History,2,2,22,14,14,11,60%,34%,6%,0.115,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Management and Organizational History,2,2,11,22,15,4,33%,47%,12%,0.073,,,,,,,,,,0.8,1.21,Q4,289,0,0.484,MANAGEMENT
BUS HIST & ECON HIST,Historical Studies in Industrial Relations,1,1,25,26,27,19%,0%,5%,0.000,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Irish Economic and Social History,1,1,18,5,25,32%,50%,9%,0.118,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of European Economic History,1,1,28,27,26,42%,33%,5%,0.000,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Historical Research in Marketing,1,1,20,24,22,24%,19%,7%,0.010,,,,,,,,,,,0.5,0.08,Q4,207,0,0.157,BUSINESS
BUS HIST & ECON HIST,Journal of Management History,1,1,10,17,17,35%,34%,3%,0.054,,,,,,,,,,,0.9,0.3,Q4,458,0,0.201,MANAGEMENT
BUS HIST & ECON HIST,Revista de Historia Economica - Journal of Iberian and Latin American,1,1,12,8,12,9,65%,41%,19%,0.247,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,Scandinavian Economic History Review,1,1,15,10,18,47%,38%,7%,0.277,,,,,,,,,,,0.5,0.18,Q4,240,0,0.439,ECONOMICS
BUS HIST & ECON HIST,Zeitschrift für Unternehmensgeschichte,1,1,27,25%,0%,0%,0.000,,,,,,,,,,,,,,,,,,,
ECON,American Economic Review,4*,4*,3,5,4,4,41%,47%,42%,27.750,19447981,American Economic Association,11.49,3.9,Q1,76487,0.109,13.786,ECONOMICS - SSCI,10.5,3.7,Q1,73404,0.089,18.689,ECONOMICS
ECON,Annals of Statistics,4*,4*,30,21,19,27,2%,42%,18%,0.276,21688966,Institute of Mathematical Statistics,4.904,1.88,Q1,30195,0.028,5.073,STATISTICS & PROBABILITY - SCIE,,,,,,,
ECON,Econometrica,4*,4*,12,6,3,11,25%,49%,39%,12.986,14680262,Wiley-Blackwell,6.383,2.26,Q1,47762,0.036,12.055,ECONOMICS - SSCI,6.6,2.73,Q1,44514,0.044,14.259,ECONOMICS
ECON,Journal of Political Economy,4*,4*,5,4,2,5,41%,50%,56%,23.503,1537534X,University of Chicago Press,9.637,3.37,Q1,33832,0.05,14.789,ECONOMICS - SSCI,6.9,2.55,Q1,32288,0.051,15.169,ECONOMICS
ECON,Quarterly Journal of Economics,4*,4*,1,1,1,1,58%,47%,65%,52.657,15314650,Oxford University Press,19.013,6.8,Q1,41001,0.062,32.871,ECONOMICS - SSCI,11.1,5.11,Q1,40045,0.055,28.515,ECONOMICS
ECON,Review of Economic Studies,4*,4*,19,9,5,10,42%,50%,44%,15.636,1467937X,Oxford University Press,7.833,2.62,Q1,19568,0.039,12.657,ECONOMICS - SSCI,5.9,1.86,Q1,19993,0.047,12.088,ECONOMICS
ECON,American Economic Journal: Applied Economics,4,4,7,10,6,9,64%,55%,44%,20.600,19457790,American Economic Association,7.966,2.78,Q1,5269,0.021,10.36,ECONOMICS - SSCI,,,,,,,
ECON,American Economic Journal: Macroeconomics,4,4,18,12,7,22,61%,51%,53%,19.176,19457715,American Economic Association,6.718,2.0,Q1,3447,0.013,7.704,ECONOMICS - SSCI,,,,,,,
ECON,Biometrika,4,4,97,53,36,69,11%,41%,17%,0.092,14643510,Oxford University Press,3.028,0.85,Q2,28961,0.01,3.044,BIOLOGY - SCIE,,,,,,,
ECON,Econometric Theory,4,4,144,79,46,141,2%,65%,15%,0.632,14694360,Cambridge University Press,1.968,0.71,Q3,3913,0.004,2.092,ECONOMICS - SSCI,1,0.41,Q3,3421,0.004,2.035,ECONOMICS
