Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Mathematical Programming Computation","MATH PROGRAM COMPUT","SPRINGER HEIDELBERG","1867-2949","1867-2957","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,695","4.3","1.73","50"%," 25/106 ","9.5","Q1","4.1","0.7"," 6/106 ","Q1","94.81","0.003","0.735","3.888","76.9","Q1","Q1","19","100"%,"4.9","10.8","19",
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6220","1793-6845","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,653","2.5","0.66","1.09"%," 40/106 ","2.4","Q2","2.3","0.4"," 40/106 ","Q2","62.74","0.001","0.265","0.395","62.7","Q2","Q4","87","97.7"%,"5.2","5.4","85",
"IISE Transactions","IISE TRANS","TAYLOR & FRANCIS INC","2472-5854","2472-5862","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,625","2","0.43","5.26"%," 51/106 ","2.8","Q2","1.7","0.5"," 71/106 ","Q3","33.49","0.003","0.752","0.817","52.4","Q2","Q2","100","97"%,"3.8","6.8","97",
"OPTIMIZATION AND ENGINEERING","OPTIM ENG","SPRINGER","1389-4420","1573-2924","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,574","2","0.61","30.74"%," 51/106 ","2.2","Q2","1.8","0.2"," 45/106 ","Q2","58.02","0.002","0.442","0.64","52.4","Q2","Q2","93","98.92"%,"4.9","10","92",
"Operational Research","OPER RES-GER","SPRINGER HEIDELBERG","1109-2858","1866-1505","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,465","2.3","0.57","12.2"%," 42/106 ","2.4","Q2","2.2","0.6"," 51/106 ","Q2","52.36","0.002","0.429","0.498","60.8","Q2","Q3","65","93.85"%,"3.4","7.3","61",
"Fuzzy Optimization and Decision Making","FUZZY OPTIM DECIS MA","SPRINGER","1568-4539","1573-2908","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,450","4.8","0.92","11.94"%," 18/106 ","4.7","Q1","4.4","1.9"," 28/106 ","Q2","74.06","0.001","0.245","0.962","83.5","Q1","Q2","15","100"%,"6.3","6","15",
"JOURNAL OF SCHEDULING","J SCHEDULING","SPRINGER","1094-6136","1099-1425","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,407","1.4","0.33","31.36"%," 74/106 ","1.7","Q3","1.3","<0.1"," 85/106 ","Q4","20.28","0.001","0.209","0.49","30.7","Q3","Q3","27","96.3"%,"10.5","14.7","26",
"Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability","P I MECH ENG O-J RIS","SAGE PUBLICATIONS LTD","1748-006X","1748-0078","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,277","1.7","0.39","3.58"%," 61/106 ","1.8","Q3","1.5","0.3"," 75/106 ","Q3","29.72","0.001","0.307","0.364","42.9","Q3","Q4","58","100"%,"4.1","6.8","58",
"APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","APPL STOCH MODEL BUS","WILEY","1524-1904","1526-4025","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,274","1.3","0.45","27.88"%," 83/106 ","1.4","Q4","1.2","0.4"," 66/106 ","Q3","38.21","0.001","0.275","0.434","22.2","Q4","Q3","57","98.25"%,"7.5","9.5","56",
"NETWORKS & SPATIAL ECONOMICS","NETW SPAT ECON","SPRINGER","1566-113X","1572-9427","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,255","1.6","0.43","24.27"%," 65/106 ","2.1","Q3","1.4","0.1"," 71/106 ","Q3","33.49","0.001","0.196","0.515","39.2","Q3","Q3","27","100"%,"7.9","8.8","27",
"Central European Journal of Operations Research","CENT EUR J OPER RES","SPRINGER","1435-246X","1613-9178","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,131","1.4","0.37","44.75"%," 74/106 ","1.8","Q3","1.2","0.6"," 78/106 ","Q3","26.89","0.001","0.243","0.396","30.7","Q3","Q4","56","100"%,"5.2","8.4","56",
"QUEUEING SYSTEMS","QUEUEING SYST","SPRINGER","0257-0130","1572-9443","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,126","0.7","0.17","15.03"%," 100/106 ","0.9","Q4","0.6","0.1"," 101/106 ","Q4","5.19","0.001","0.209","0.436","6.1","Q4","Q3","26","100"%,"17.2","15.3","26",
"Logistics-Basel","LOGISTICS-BASEL","MDPI","N/A","2305-6290","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","ESCI","1,057","3.6","0.77","98.89"%," 31/106 ","3.7","Q2","3.2","0.9"," 33/106 ","Q2","69.34","0.001","0.244","0.537","71.2","Q2","Q3","98","78.57"%,"2.5","5.2","77",
"International Journal of Industrial Engineering Computations","INT J IND ENG COMP","GROWING SCIENCE","1923-2926","1923-2934","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","1,008","1.6","0.45","97.96"%," 65/106 ","1.9","Q3","1.2","0.5"," 66/106 ","Q3","38.21","0","0.108","0.319","39.2","Q3","Q4","62","98.39"%,"7.2","5.9","61",
"MATHEMATICAL METHODS OF OPERATIONS RESEARCH","MATH METHOD OPER RES","SPRINGER HEIDELBERG","1432-2994","1432-5217","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","985","0.9","0.37","39.81"%," 94/106 ","1","Q4","0.9","0.1"," 78/106 ","Q3","26.89","0.001","0.179","0.518","11.8","Q4","Q3","32","100"%,"15","13.9","32",
"Flexible Services and Manufacturing Journal","FLEX SERV MANUF J","SPRINGER","1936-6582","1936-6590","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","918","2.5","0.47","30.33"%," 40/106 ","2.5","Q2","2.3","0.8"," 62/106 ","Q3","41.98","0.001","0.22","0.594","62.7","Q2","Q3","38","94.74"%,"5","6.5","36",
"Systems Engineering","SYSTEMS ENG","WILEY","1098-1241","1520-6858","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","897","1.6","0.31","34.39"%," 65/106 ","2","Q3","1","0.3"," 89/106 ","Q4","16.51","0","0.094","0.27","39.2","Q3","Q4","85","91.76"%,"6.9","8.6","78",
"Journal of Decision Systems","J DECIS SYST","TAYLOR & FRANCIS LTD","1246-0125","2116-7052","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","ESCI","879","2.8","0.6","14.29"%," 36/106 ","2.7","Q2","2.2","1.1"," 47/106 ","Q2","56.13","0.001","0.168","0.428","66.5","Q2","Q3","35","80"%,"3.5","5","28",
